experiment_group,result_root,subject,dimension,fold,test_accuracy,test_loss,best_test_accuracy,best_test_loss,best_epoch,true_count_0,true_count_1,pred_count_0,pred_count_1,best_pred_count_0,best_pred_count_1,disable_dropout,train_keep_prob,standardize,train_phase_train,use_channel_attention,use_self_attention,split_protocol,train_split_units,test_split_units,source_csv
trial_level_s01_s08,full_acrnn,s05,valence,3,0.6937500238418579,0.7806693911552429,0.9125000238418579,0.6429942846298218,62,20,140,37,123,18,142,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s05_summary.csv
trial_level_s01_s08,full_acrnn,s05,valence,4,0.59375,1.8317420482635498,0.6124999523162842,1.7624578475952148,198,80,80,53,107,74,86,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s05_summary.csv
trial_level_s01_s08,full_acrnn,s05,valence,5,0.38750001788139343,3.9460768699645996,0.5,0.6949167251586914,1,80,80,38,122,0,160,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s05_summary.csv
trial_level_s01_s08,full_acrnn,s06,valence,1,0.875,0.6108859777450562,0.90625,0.2703538239002228,113,20,140,4,156,9,151,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s06_summary.csv
trial_level_s01_s08,full_acrnn,s06,valence,2,0.6937500238418579,2.359686851501465,0.75,0.6418527364730835,1,40,120,9,151,0,160,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s06_summary.csv
trial_level_s01_s08,full_acrnn,s06,valence,3,0.8062499761581421,0.8412065505981445,0.875,0.5891874432563782,1,20,140,11,149,0,160,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s06_summary.csv
trial_level_s01_s08,full_acrnn,s06,valence,4,0.59375,2.94124174118042,0.6375000476837158,0.9831809401512146,119,60,100,5,155,6,154,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s06_summary.csv
trial_level_s01_s08,full_acrnn,s06,valence,5,0.581250011920929,3.7879369258880615,0.625,0.6672219038009644,1,60,100,11,149,0,160,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s06_summary.csv
trial_level_s01_s08,full_acrnn,s07,valence,1,0.731249988079071,1.7271901369094849,0.7562500238418579,0.5153677463531494,83,40,120,9,151,1,159,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s07_summary.csv
trial_level_s01_s08,full_acrnn,s07,valence,2,0.574999988079071,2.2778639793395996,0.75,0.6458411812782288,1,40,120,38,122,0,160,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s07_summary.csv
trial_level_s01_s08,full_acrnn,s07,valence,3,0.6187499761581421,3.6107308864593506,0.6312500238418579,0.9392558932304382,84,60,100,11,149,1,159,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s07_summary.csv
trial_level_s01_s08,full_acrnn,s07,valence,4,0.6312500238418579,3.316016674041748,0.6499999761581421,0.8055542707443237,88,60,100,3,157,6,154,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s07_summary.csv
trial_level_s01_s08,full_acrnn,s07,valence,5,0.75,2.1348724365234375,0.762499988079071,0.5012480020523071,97,40,120,2,158,14,146,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s07_summary.csv
trial_level_s01_s08,full_acrnn,s08,valence,1,0.40625,2.8027596473693848,0.5499999523162842,0.7175838947296143,78,80,80,111,49,44,116,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s08_summary.csv
trial_level_s01_s08,full_acrnn,s08,valence,2,0.7124999761581421,1.0002163648605347,0.7937500476837158,0.8286986947059631,142,80,80,80,80,63,97,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s08_summary.csv
trial_level_s01_s08,full_acrnn,s08,valence,3,0.3687500059604645,3.9180564880371094,0.7562500238418579,0.6875512599945068,9,40,120,75,85,1,159,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s08_summary.csv
trial_level_s01_s08,full_acrnn,s08,valence,4,0.45624998211860657,3.6725287437438965,0.6000000238418579,2.406212568283081,195,100,60,31,129,88,72,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s08_summary.csv
trial_level_s01_s08,full_acrnn,s08,valence,5,0.48124998807907104,2.819120168685913,0.637499988079071,0.6893588900566101,3,60,100,43,117,10,150,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s08_summary.csv
trial_level_smoke,full_acrnn,s01,valence,1,0.5,0.6942200064659119,0.5,0.6942200064659119,1,80,80,160,0,160,0,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_smoke/full_acrnn/valence/s01_summary.csv
